Ndex,Cameo Pokémon,Card name,Set,#,TCGPlayer Link,Notes
23,Ekans,Pikachu,Collection 151,172,,this card was only released in Simplified Chinese
,,Po Town,Burning Shadows,121,https://www.tcgplayer.com/product/138631/pokemon-sm-burning-shadows-po-town,graffiti
24,Arbok,Challenge!,Team Rocket,74,https://www.tcgplayer.com/product/84159/pokemon-team-rocket-challenge,
,,,Legendary Collection,106,https://www.tcgplayer.com/product/84160/pokemon-legendary-collection-challenge,
25,Pikachu,Mr. Fuji,Fossil,58,https://www.tcgplayer.com/product/44460/pokemon-fossil-mr-fuji,
,,No.1 Trainer,Official Tournament Promo,-,,
,,No.2 Trainer,Official Tournament Promo,-,,
,,No.3 Trainer,Official Tournament Promo,-,,
,,Pokémon Illustrator,Miscellaneous Promos,-,,
,,Pokémon Plaza,Miscellaneous Promos,-,https://www.tcgplayer.com/product/617251/pokemon-japan-corocoro-promotional-cards-pokemon-plaza-jumbo,Jumbo
,,Mewtwo Strikes Back,Miscellaneous Promos,-,https://www.tcgplayer.com/product/617243/pokemon-japan-corocoro-promotional-cards-mewtwo-strikes-back-jumbo,Jumbo
,,Tropical Present,Miscellaneous Promos,early '99,https://www.tcgplayer.com/product/617345/pokemon-japan-pokemon-card-fan-club-tropical-present-summer-1999-jumbo,Jumbo
,,Pokémon Valley,Miscellaneous Promos,-,https://www.tcgplayer.com/product/617252/pokemon-japan-corocoro-promotional-cards-pokemon-valley-jumbo,Jumbo
,,Machop,Expansion Sheet 2,-,,
,,Lucky Stadium,Wizards Promos,41,https://www.tcgplayer.com/product/86894/pokemon-wotc-promo-lucky-stadium,
,,No.1 Trainer,Battle Road Promo,-,,"has prints in Neo and e-Card layouts, with both girl and boy trainers"
,,No.2 Trainer,Battle Road Promo,-,,
,,No.3 Trainer,Battle Road Promo,-,,
,,Lucky Stadium,Hokkaidō World Challenge Promo,-,,
,,Pokémon Park,Aquapolis,131,https://www.tcgplayer.com/product/88230/pokemon-aquapolis-pokemon-park,
,,,POP Series 2,10,https://www.tcgplayer.com/product/88231/pokemon-pop-series-2-pokemon-park,
,,Pokémon Center Tokyo,P Promos,19,https://www.tcgplayer.com/product/613726/pokemon-japan-p-promotional-cards-pokemon-center-tokyo-019-p,
,,Tropical Tidal Wave,Nintendo Promos,27,https://www.tcgplayer.com/product/224551/pokemon-nintendo-promos-tropical-tidal-wave-027-2005-world-championships-staff,
,,Pokémon Fan Club,POP Series 4,9,https://www.tcgplayer.com/product/88226/pokemon-pop-series-4-pokemon-fan-club,
,,Victory Medal,Battle Road Spring Promo,-,https://www.tcgplayer.com/product/282504/pokemon-league-and-championship-cards-victory-medal-2006-2007-battle-road-spring,has prints in EX and DP layouts
,,Victory Medal,Battle Road Autumn Promo,-,,
,,Tropical Tidal Wave,Nintendo Promos,36,https://www.tcgplayer.com/product/224556/pokemon-nintendo-promos-tropical-tidal-wave-036-2006-world-championships-staff,
,,No.1 Trainer,World Championship Promo,-,https://www.tcgplayer.com/product/662991/pokemon-player-placement-trainer-promos-no-1-trainer-2012,"has prints in EX, DP, HS, and BW layouts"
,,No.2 Trainer,World Championship Promo,-,https://www.tcgplayer.com/product/662983/pokemon-player-placement-trainer-promos-no-2-trainer-2013,
,,No.3 Trainer,World Championship Promo,-,https://www.tcgplayer.com/product/662992/pokemon-player-placement-trainer-promos-no-3-trainer-2018,
,,No.4 Trainer,World Championship Promo,-,,regular print in BW layout
,,Victory Ring,Battle Road Promo,©2005,https://www.tcgplayer.com/product/617296/pokemon-japan-battle-road-victory-ring-2005,
,,Pokémon Pal City,Kantō Battle City Promo,-,https://www.tcgplayer.com/product/617278/pokemon-japan-battle-road-pokemon-pal-city-kanto,
,,Bulbasaur,DPt-P Promos,30,https://www.tcgplayer.com/product/613215/pokemon-japan-dpt-p-promotional-cards-bulbasaur-030-dpt-p,
,,Michina Temple,DPt-P Promos,44,https://www.tcgplayer.com/product/613231/pokemon-japan-dpt-p-promotional-cards-michina-temple-044-dpt-p,
,,Arceus,2009 Card Design Contest,3rd Grade,,
,,Arceus,2009 Card Design Contest,CoroCoro Comic,https://www.tcgplayer.com/product/617211/pokemon-japan-corocoro-promotional-cards-arceus-comic-competition,
,,Pokémon Communication,HeartGold & SoulSilver,98,https://www.tcgplayer.com/product/88220/pokemon-heartgold-soulsilver-pokemon-communication,
,,Slowpoke,Undaunted,66,https://www.tcgplayer.com/product/89333/pokemon-undaunted-slowpoke,
,,Tropical Tidal Wave,HGSS Promos,18,https://www.tcgplayer.com/product/97703/pokemon-hgss-promos-tropical-tidal-wave-hgss18-worlds-10-staff,
,,Victory Medal,L-P Promos,31,https://www.tcgplayer.com/product/608570/pokemon-japan-l-p-legends-promos-victory-medal-031-l-p,
,,Victory Medal,L-P Promos,32,https://www.tcgplayer.com/product/608571/pokemon-japan-l-p-legends-promos-victory-medal-032-l-p,
,,Victory Medal,L-P Promos,33,https://www.tcgplayer.com/product/608572/pokemon-japan-l-p-legends-promos-victory-medal-033-l-p,
,,Illusion's Zorua,2010 Card Design Contest,Kindergarten,,
,,Illusion's Zorua,2010 Card Design Contest,1st Grade,,
,,Illusion's Zorua,2010 Card Design Contest,Pokémon Fan,,
,,Tropical Beach,BW Promos,50,https://www.tcgplayer.com/product/90049/pokemon-black-and-white-promos-tropical-beach-bw50-worlds-12,
,,Champions Festival,BW Promos,95,https://www.tcgplayer.com/product/84162/pokemon-black-and-white-promos-champions-festival-bw95-worlds-13,
,,Eevee,BW Promos,97,https://www.tcgplayer.com/product/85096/pokemon-black-and-white-promos-eevee-bw97,
,,Tepig,BW-P Promos,-,,Jumbo
,,Oshawott,BW-P Promos,-,,Jumbo
,,Rayquaza,BW-P Promos,-,https://www.tcgplayer.com/product/635236/pokemon-japan-bw-p-promotional-cards-rayquaza-144-bw-p,Jumbo
,,Mewtwo,BW-P Promos,-,,Jumbo
,,Inkay,XY-P Promos,-,https://www.tcgplayer.com/product/602010/pokemon-japan-xy-p-xy-promos-inkay-105-xy-p,Jumbo
,,Victory Ring,XY-P Promos,3rd,,
,,Champions Festival,XY Promos,27,https://www.tcgplayer.com/product/96390/pokemon-xy-promos-champions-festival-xy27-2014,
,,No.1 Trainer,World Championship Promo,-,https://www.tcgplayer.com/product/662991/pokemon-player-placement-trainer-promos-no-1-trainer-2012,"has full art prints in XY, SM, and SWSH layouts"
